timestamp,filename,old_class,new_class,model_pred,confidence,action
2026-09-21 15:59:07,41--Swimming_41_Swimming_Swimmer_41_279.jpg_b121853.jpg,clear,DELETED,occluded,0.9549,delete
2026-09-21 15:59:24,12--Group_12_Group_Group_12_Group_Group_12_277.jpg_b34649.jpg,occluded,clear,clear,0.9116,relabel
2026-09-21 15:59:31,MaiNT_20260414_160543_931.jpg,clear,DELETED,occluded,0.8978,delete
2026-09-21 15:59:45,11--Meeting_11_Meeting_Meeting_11_Meeting_Meeting_11_443.jpg_b23216.jpg,occluded,clear,clear,0.8544,relabel
2026-09-21 15:59:53,2--Demonstration_2_Demonstration_Protesters_2_884.jpg_b12068.jpg,clear,DELETED,occluded,0.8236,delete
2026-09-21 15:59:59,57--Angler_57_Angler_peoplefishing_57_91.jpg_b141276.jpg,clear,DELETED,occluded,0.8084,delete
2026-09-21 16:00:02,6--Funeral_6_Funeral_Funeral_6_719.jpg_b145477.jpg,occluded,clear,clear,0.7789,relabel
2026-09-21 16:00:05,39--Ice_Skating_39_Ice_Skating_Ice_Skating_39_109.jpg_b118117.jpg,occluded,clear,clear,0.7638,relabel
2026-09-21 16:00:08,2--Demonstration_2_Demonstration_Demonstrators_2_537.jpg_b50029.jpg,clear,DELETED,occluded,0.7504,delete
2026-09-21 16:00:17,DoanNV_20260414_151426_507.jpg,occluded,clear,clear,0.7442,relabel
2026-09-21 16:01:13,0--Parade_0_Parade_Parade_0_676.jpg_b2340.jpg,occluded,clear,clear,0.7367,relabel
2026-09-21 16:02:10,0--Parade_0_Parade_Parade_0_461.jpg_b2859.jpg,occluded,clear,clear,0.6404,relabel
2026-09-21 16:02:29,01a0b343-89d8-7fa2-b722-ae1f65bd77fb_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789713943134_img_face5.jpg,occluded,clear,clear,0.5440,relabel
2026-09-21 16:02:36,2--Demonstration_2_Demonstration_Political_Rally_2_816.jpg_b20003.jpg,occluded,clear,clear,0.5356,relabel
2026-09-21 16:03:14,8--Election_Campain_8_Election_Campain_Election_Campaign_8_534.jpg_b154235.jpg,occluded,clear,occluded,0.5516,relabel
2026-09-21 16:03:30,41--Swimming_41_Swimming_Swimming_41_101.jpg_b121809.jpg,clear,DELETED,clear,0.5464,delete
2026-09-21 16:03:32,13--Interview_13_Interview_Interview_2_People_Visible_13_394.jpg_b37385.jpg,occluded,clear,occluded,0.5220,relabel
2026-09-21 16:30:16,48--Parachutist_Paratrooper_48_Parachutist_Paratrooper_Parachutist_Paratrooper_48_205.jpg_b33249.jpg,occluded,clear,clear,0.7048,relabel
2026-09-21 16:30:22,11--Meeting_11_Meeting_Meeting_11_Meeting_Meeting_11_44.jpg_b23091.jpg,occluded,clear,clear,0.6918,relabel
2026-09-21 16:30:34,19--Couple_19_Couple_Couple_19_173.jpg_b45593.jpg,occluded,clear,clear,0.6354,relabel
2026-09-21 16:31:17,20--Family_Group_20_Family_Group_Family_Group_20_652.jpg_b81835.jpg,occluded,clear,clear,0.9669,relabel
2026-09-21 16:31:49,face_0027_crop.jpg,occluded,DELETED,clear,0.7373,delete
2026-09-21 16:32:20,25--Soldier_Patrol_25_Soldier_Patrol_Soldier_Patrol_25_443.jpg_b90954.jpg,clear,DELETED,occluded,0.6778,delete
2026-09-21 16:32:34,01a0b7cc-f228-75b2-b765-b1604e3540a4_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789790057480_img_face.jpg,occluded,clear,clear,0.5996,relabel
2026-09-21 16:32:41,41--Swimming_41_Swimming_Swimming_41_917.jpg_b121326.jpg,occluded,DELETED,clear,0.5847,delete
2026-09-21 16:32:52,2--Demonstration_2_Demonstration_Political_Rally_2_785.jpg_b61161.jpg,occluded,clear,clear,0.5647,relabel
2026-09-21 16:32:56,48--Parachutist_Paratrooper_48_Parachutist_Paratrooper_Parachutist_Paratrooper_48_277.jpg_b130187.jpg,occluded,clear,clear,0.5628,relabel
2026-09-21 16:33:00,01a0b345-1078-7a52-b9f7-d6ac6e3c21e5_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789714043912_img_face3.jpg,occluded,clear,clear,0.5529,relabel
2026-09-21 16:33:55,28--Sports_Fan_28_Sports_Fan_Sports_Fan_28_857.jpg_b93495.jpg,occluded,clear,occluded,0.5192,relabel
2026-09-21 16:34:01,26--Soldier_Drilling_26_Soldier_Drilling_Soldiers_Drilling_26_568.jpg_b92669.jpg,occluded,DELETED,occluded,0.5105,delete
2026-09-21 17:03:05,2--Demonstration_2_Demonstration_Political_Rally_2_282.jpg_b62088.jpg,clear,DELETED,occluded,0.9922,delete
2026-09-21 17:03:15,20--Family_Group_20_Family_Group_Family_Group_20_122.jpg_b81748.jpg,clear,DELETED,occluded,0.9459,delete
2026-09-21 17:03:17,43--Row_Boat_43_Row_Boat_Canoe_43_442.jpg_b122742.jpg,clear,DELETED,occluded,0.9145,delete
2026-09-21 17:03:41,13--Interview_13_Interview_Interview_2_People_Visible_13_96.jpg_b36633.jpg,clear,DELETED,occluded,0.6882,delete
2026-09-21 17:04:08,01a0b343-0120-7a70-9a63-752303a165c5_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789713908259_img_face5.jpg,occluded,clear,clear,0.6418,relabel
2026-09-21 17:23:18,13--Interview_13_Interview_Interview_Sequences_13_895.jpg_b36324.jpg,clear,occluded,occluded,0.9998,relabel
